Keyword,Reason,Analysis,AU,BR,CA,DE,ES,EU,FR,IT,JP,MX,NL,SE,UAE,UK,US
Plain_Flexible_Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"Similar to 'Plain Flexible Sale', this variation is also restricted by Amazon Europe due to its promotional nature, which can affect listing visibility.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plain-Flexible-Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"This hyphenated version of the phrase is also restricted by Amazon Europe, as it may be considered promotional and lead to search suppression.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plain*Flexible*Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"The asterisk-separated version of the phrase is flagged for the same reasons as other variations, due to Amazon Europe's restrictions on promotional content.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plant Vigra,Prohibited Supplement Products,"This keyword is flagged as it pertains to prohibited supplement products, likely due to potential health risks or regulatory issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plasmatic EP,Tainted Products,"Flagged for being associated with tainted products, indicating it may contain harmful or undisclosed substances.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plasticine,Trademark Terms,"The term 'Plasticine' is flagged due to its status as a trademarked term, which means unauthorized use could infringe on trademark rights.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Platinum,Unapproved Remedies for Cancer,The keyword 'Platinum' is flagged due to its association with unapproved remedies for cancer. This suggests that products or treatments claiming to use platinum for cancer treatment are not recognized by regulatory bodies and could pose health risks.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plavix,Prescription Drugs & Ingredients - cannot be sold,"'Plavix' is a prescription drug, and its sale is restricted to prevent unauthorized distribution. This ensures that the medication is only used under medical supervision, maintaining patient safety.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Play Hard for Men,Sexual Enhancement Products - prohibited,"This keyword is flagged as it pertains to sexual enhancement products, which are often prohibited due to potential health risks and lack of regulatory approval.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pleo Homeopathic products,Prohibited Supplement Products,"Homeopathic products like 'Pleo' are flagged as prohibited supplements, likely due to concerns over efficacy and safety, as they may not meet regulatory standards.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Plexiglas, Plexiglass",Trademark Terms,"These terms are flagged as trademarked, indicating that unauthorized use could infringe on intellectual property rights, leading to legal issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plexus Slim Accelerator,Tainted Products,"Flagged as a tainted product, 'Plexus Slim Accelerator' may contain undisclosed or harmful ingredients, posing health risks to consumers.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plexus Slim Accelerator 3 Day Trial Pack,Known Prohibited Products,"This product is known to be prohibited, likely due to safety concerns or regulatory non-compliance, making it unsuitable for sale.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plexus Slim Accelerator Capsules,Known Prohibited Products,"Similar to the trial pack, these capsules are flagged as prohibited, indicating potential health risks or regulatory issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Plicamycin,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Flagged under California Proposition 65, 'Plicamycin' requires specific warnings if sold in the US, highlighting potential health risks associated with its use.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PLUS Popular Best Printed,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"This keyword contains promotional phrases that are restricted by Amazon Europe. Using such phrases in product titles can lead to search suppression, affecting the visibility of the listing.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PLUS_Popular_Best_Printed,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"Similar to the previous keyword, this variation with underscores is also flagged due to the inclusion of promotional phrases that Amazon Europe restricts, potentially leading to search suppression.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PLUS-Popular-Best-Printed,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"The hyphenated version of the keyword is flagged for the same reason as the others: it contains promotional phrases that are restricted by Amazon Europe, risking search suppression.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PLUS*Popular*Best*Printed,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"This keyword uses asterisks but still contains the same restricted promotional phrases, leading to potential search suppression on Amazon Europe.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PN-Rx,"Products that have been the Subject of Criminal Enforcement, Injunctions, Seizures or Warning Letters","This keyword is flagged because it may relate to products that have been subject to criminal enforcement or regulatory actions, indicating potential legal or compliance issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumococcal,CDC Diseases - analyze to see if this is a claim,This keyword is associated with a disease recognized by the CDC. It needs to be analyzed to ensure it is not making unauthorized health claims.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumococcal Conjugate,CDC Diseases - analyze to see if this is a claim,"Similar to 'Pneumococcal,' this keyword refers to a CDC-recognized disease and requires analysis to confirm it does not make unauthorized health claims.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumococcal Polysaccharide,CDC Diseases - analyze to see if this is a claim,This keyword is related to a CDC-recognized disease and should be reviewed to ensure it does not imply unauthorized health claims.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumoconioses,CDC Diseases - analyze to see if this is a claim,This keyword refers to a disease recognized by the CDC. It should be analyzed to ensure it is not used in a way that makes unauthorized health claims.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumocystis carinii Pneumonia,CDC Diseases - analyze to see if this is a claim,This keyword is associated with a CDC-recognized disease and needs to be reviewed to ensure it does not make unauthorized health claims.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumocystis jirovecii pneumonia,CDC Diseases - analyze to see if this is a claim,"This keyword refers to a specific type of pneumonia caused by the fungus Pneumocystis jirovecii. It is often associated with immunocompromised individuals, such as those with HIV/AIDS. The CDC lists it as a disease of concern, but the keyword itself does not constitute a claim.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumocystis pneumonia,CDC Diseases - analyze to see if this is a claim,"This is a general term for pneumonia caused by the Pneumocystis fungus. It is recognized by the CDC as a disease, but the keyword alone does not imply a claim.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pneumonia,CDC Diseases - analyze to see if this is a claim,"Pneumonia is a broad term for lung infections that can be caused by various organisms. It is a recognized disease by the CDC, but the keyword itself does not make a specific claim.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
pneumoniae,CDC Diseases - analyze to see if this is a claim,"This term is often associated with bacterial species like Streptococcus pneumoniae, a common cause of pneumonia. The keyword is related to CDC diseases but does not inherently make a claim.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Po Chai Pills Kapseln,Tainted Products,"These are traditional Chinese medicine products that have been flagged for containing potentially harmful substances. The keyword is associated with tainted products, indicating a compliance concern.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Podcast Logo,Trademark Terms,This keyword is flagged due to potential trademark issues. Using 'Podcast Logo' could infringe on trademarked designs or names.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Podophyllum indian,Restricted Ingredient,"This term refers to a variant of Podophyllum, which is a restricted ingredient due to its potential toxicity. The keyword is flagged for safety compliance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Podophyllum resin,Restricted Ingredient,Podophyllum resin is flagged as a restricted ingredient due to its potential toxicity and use in medical treatments. It is often regulated to prevent misuse and ensure safety.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pogo,Trademark Terms,"The term 'Pogo' is flagged as a trademark term, indicating it is a protected brand name. Unauthorized use could lead to trademark infringement issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poison Ivy,Restricted Ingredient,"Poison Ivy is flagged as a restricted ingredient due to its irritant properties, which can cause allergic reactions. It is regulated to prevent exposure and health issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poison Nut,Restricted Ingredient,"Poison Nut is restricted due to its toxic properties. It contains strychnine, a potent poison, and is regulated to prevent accidental ingestion and poisoning.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poison Oak,Restricted Ingredient,Poison Oak is flagged as a restricted ingredient because it can cause severe skin irritation and allergic reactions. Regulation helps prevent exposure and health risks.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polio,CDC Diseases - analyze to see if this is a claim,Polio is flagged under CDC diseases to ensure that any claims made about it are accurate and not misleading. This helps maintain public health information integrity.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poliomyelitis,CDC Diseases - analyze to see if this is a claim,"Poliomyelitis, another term for Polio, is monitored for claims to ensure accurate representation of the disease and prevent misinformation.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poly-Oph,Prescription Antibiotics cannot be sold,Poly-Oph is flagged because prescription antibiotics cannot be sold without proper authorization. This regulation ensures safe and appropriate use of antibiotics.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polybrominated biphenyls,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","This keyword is flagged due to its inclusion in California Proposition 65, which requires businesses to provide warnings about significant exposures to chemicals that cause cancer, birth defects, or other reproductive harm. Proper labeling and compliance with local regulations are necessary.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polychlorinated biphenyls,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Similar to polybrominated biphenyls, this keyword is flagged under California Proposition 65. It is crucial to ensure proper warnings and compliance with local regulations when offering products containing this chemical.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polychlorinated biphenyls (containing 60 or more percent percent chlorine by molecular weight),"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",No analysis available,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polychlorinated dibenzo-p-dioxins,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Flagged under California Proposition 65, these compounds are known for their toxicity and potential health risks. Proper labeling and adherence to local regulations are required.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polychlorinated dibenzofurans,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","These compounds are flagged due to their inclusion in Proposition 65, necessitating proper warnings and compliance with local regulations to mitigate health risks.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polycillin,Prescription Antibiotics cannot be sold,"This keyword is flagged because it refers to a prescription antibiotic, which cannot be sold without proper authorization and prescription.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polycillin-N,Prescription Antibiotics cannot be sold,"Similar to Polycillin, this is a prescription antibiotic and is flagged to prevent unauthorized sales without a prescription.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Polygeenan,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Flagged under California Proposition 65, this keyword requires proper labeling and compliance with local regulations due to potential health risks.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PolyOph,Prescription Antibiotics cannot be sold,"This keyword is flagged as it refers to a prescription antibiotic, which cannot be sold without a prescription, ensuring compliance with pharmaceutical regulations.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pomegranate bark,Restricted Ingredient,"Flagged as a restricted ingredient, pomegranate bark may have limitations on its use due to potential health concerns or regulatory restrictions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Ponceau 3R,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Ponceau 3R is flagged due to California Proposition 65, which requires businesses to provide warnings about significant exposures to chemicals that cause cancer, birth defects, or other reproductive harm. Ensure compliance by including manufacturer-provided indications in the master file for US markets and check local regulations for other regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Ponceau MX,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Similar to Ponceau 3R, Ponceau MX is flagged under California Proposition 65. Proper labeling and compliance with local regulations are necessary when offering this product in the US or other markets.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pontiac Fever,CDC Diseases - analyze to see if this is a claim,"Pontiac Fever is flagged under CDC Diseases. It is important to verify if any claims are being made about this disease, as it could lead to regulatory scrutiny or require specific disclaimers.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poppers,Restricted Ingredient,"Poppers are flagged as a restricted ingredient, likely due to their potential health risks and legal status in various regions. Ensure compliance with local laws and regulations when dealing with these products.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Poppers, amyl nitrite products, or related products",Prohibited Supplement Products,"These products are flagged as prohibited supplement products, indicating they are not allowed in dietary supplements due to safety concerns or legal restrictions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Poppy capsule,Restricted Ingredient,"Poppy capsules are flagged as a restricted ingredient, possibly due to their association with opiates. Compliance with local regulations is crucial when dealing with these products.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Poppy pods, poppy straw, and poppy straw concentrate",Prohibited Supplement Products,"These items are flagged as prohibited supplement products, likely due to their potential use in producing opiates. They are not allowed in dietary supplements.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Poppy tea (tea brewed from poppy seeds, pods, or straw)",Prohibited Supplement Products,"Poppy tea is flagged as a prohibited supplement product, as it can contain opiates. It is not permitted in dietary supplements due to safety and legal concerns.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Popsicle,Trademark Terms,The term 'Popsicle' is flagged as a trademark term. Use of this term may require permission from the trademark holder or adherence to specific guidelines to avoid infringement.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Popular Best,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"The phrase 'Popular Best' is flagged due to Amazon Europe's restrictions on promotional language in product titles. Such phrases can lead to search suppression, affecting the visibility of listings.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Popular_Best,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"Similar to 'Popular Best', the use of 'Popular_Best' is restricted due to its promotional nature, which can result in search suppression on Amazon Europe.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Popular-Best,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"The hyphenated version 'Popular-Best' is also flagged for the same reasons as the previous variations, as it is considered promotional and can lead to search suppression.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Popular*Best,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"The asterisk version 'Popular*Best' is flagged for being promotional, which is restricted by Amazon Europe and can cause search suppression.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
porpoise,"Shark, whale, porpoise, dolphin products are prohibited","The keyword 'porpoise' is flagged because products related to sharks, whales, porpoises, and dolphins are prohibited on the platform.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Portakabin,Trademark Terms,"'Portakabin' is a trademarked term, and its use is restricted to prevent trademark infringement.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Post-it,Trademark Terms,"'Post-it' is a trademarked term owned by 3M, and its use is restricted to avoid trademark violations.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Pot Noodle,Trademark Terms,"'Pot Noodle' is a trademarked term, and its use is restricted to prevent unauthorized use of the brand name.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potassium bromate,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","'Potassium bromate' is flagged due to California Proposition 65 regulations, which require specific warnings if offered in the US. Compliance with local regulations is necessary in other marketplaces.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potassium cyanide,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Potassium cyanide is flagged due to California Proposition 65, which requires businesses to provide warnings about significant exposures to chemicals that cause cancer, birth defects, or other reproductive harm. Ensure compliance by including proper indications from the manufacturer in the master file for US markets and check local regulations for other regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potassium dimethyldithiocarbamate,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Similar to potassium cyanide, this chemical is flagged under California Proposition 65. It is crucial to include manufacturer-provided indications in the master file for US offerings and adhere to local regulations in other markets.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
potassium hypophosphite,"""List I"" chemicals or their derivatives as designated by the Drug Enforcement Administration (DEA)",No analysis available,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potassium iodate,Look at possible claims (especially related to radiation),"Potassium iodate is flagged due to potential claims related to radiation protection. It is important to verify any claims made about this chemical, especially in relation to its use in radiation emergencies.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potassium iodide,Look at possible claims (especially related to radiation),"Similar to potassium iodate, potassium iodide is flagged for potential radiation-related claims. Ensure that any claims made are substantiated and comply with regulatory standards.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potassium Vulanate,Prescription Drugs & Ingredients - cannot be sold,"This substance is flagged as a prescription drug or ingredient, which cannot be sold without proper authorization. Ensure compliance with prescription drug regulations.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Potion 9,Prohibited Supplement Products,This product is flagged as a prohibited supplement. It is important to verify the ingredients and claims associated with this product to ensure compliance with supplement regulations.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Powassan,CDC Diseases - analyze to see if this is a claim,Powassan is flagged as a CDC-recognized disease. It is crucial to analyze any claims related to this disease to ensure they are accurate and not misleading.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Power 1,Prohibited Supplement Products,This product is flagged as a prohibited supplement. Verify the product's ingredients and claims to ensure they do not violate supplement regulations.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Power Mac,Trademark Terms,"The term 'Power Mac' is flagged due to its association with Apple's line of Macintosh computers, which are trademarked. Usage of this term without authorization could infringe on Apple's intellectual property rights.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Power Source Maxxx,Sexual Enhancement Products - prohibited,"This keyword is flagged as it refers to a product categorized under sexual enhancement products, which are prohibited due to potential health risks and regulatory issues.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Power-X,Sexual Enhancement Products - prohibited,"Similar to 'Power Source Maxxx', 'Power-X' is flagged for being associated with sexual enhancement products, which are banned due to safety concerns and lack of regulatory approval.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
PowerBook,Trademark Terms,'PowerBook' is a trademarked term associated with Apple's line of laptop computers. Unauthorized use of this term could lead to trademark infringement issues.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Powerful Slim,Prohibited Supplement Products,"This keyword is flagged as it refers to a supplement product that is prohibited, likely due to containing ingredients that are not approved or are considered unsafe.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Powerful Slim - sibutramine,Prohibited Supplement Products,"The inclusion of 'sibutramine' in 'Powerful Slim' indicates the presence of a banned substance, leading to its prohibition due to significant health risks associated with its use.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Powerful Slim – sibutramine,Prohibited Supplement Products,"This variant of 'Powerful Slim' also includes 'sibutramine', a substance banned for its adverse health effects, resulting in its prohibition.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
